file_a,file_b,cochange_count,jaccard
api/paths/reservations_by_id.yml,api/paths/reservations_list.yml,3,1.000000
merentalbe3/api.py,src/api/schemas/regional_dto.py,4,0.800000
merentalbe3/api.py,src/infrastructure/models/regional_model.py,2,0.285714
merentalbe3/api.py,src/infrastructure/repositories/django_regional_repository.py,4,0.800000
src/api/schemas/regional_dto.py,src/infrastructure/models/regional_model.py,2,0.333333
src/api/schemas/regional_dto.py,src/infrastructure/repositories/django_regional_repository.py,4,1.000000
src/infrastructure/models/regional_model.py,src/infrastructure/repositories/django_regional_repository.py,2,0.333333
merentalbe3/api.py,src/api/dependencies.py,3,0.600000
merentalbe3/api.py,src/api/regionals.py,2,0.400000
merentalbe3/api.py,src/application/schemas/result_enums.py,3,0.600000
merentalbe3/api.py,src/application/use_cases/regional/__init__.py,2,0.400000
merentalbe3/api.py,src/application/use_cases/regional/create_regional.py,2,0.400000
merentalbe3/api.py,src/application/use_cases/regional/delete_regional.py,2,0.400000
merentalbe3/api.py,src/application/use_cases/regional/get_regional.py,2,0.400000
merentalbe3/api.py,src/application/use_cases/regional/get_regionals.py,2,0.400000
merentalbe3/api.py,src/application/use_cases/regional/update_regional.py,2,0.400000
merentalbe3/api.py,src/domain/entities/regional.py,2,0.285714
merentalbe3/api.py,src/domain/exceptions.py,3,0.600000
src/api/dependencies.py,src/api/regionals.py,2,0.666667
src/api/dependencies.py,src/api/schemas/regional_dto.py,2,0.400000
src/api/dependencies.py,src/application/schemas/result_enums.py,3,1.000000
src/api/dependencies.py,src/application/use_cases/regional/__init__.py,2,0.666667
src/api/dependencies.py,src/application/use_cases/regional/create_regional.py,2,0.666667
src/api/dependencies.py,src/application/use_cases/regional/delete_regional.py,2,0.666667
src/api/dependencies.py,src/application/use_cases/regional/get_regional.py,2,0.666667
src/api/dependencies.py,src/application/use_cases/regional/get_regionals.py,2,0.666667
src/api/dependencies.py,src/application/use_cases/regional/update_regional.py,2,0.666667
src/api/dependencies.py,src/domain/entities/regional.py,2,0.400000
src/api/dependencies.py,src/domain/exceptions.py,3,1.000000
src/api/dependencies.py,src/infrastructure/repositories/django_regional_repository.py,2,0.400000
src/api/regionals.py,src/api/schemas/regional_dto.py,2,0.500000
src/api/regionals.py,src/application/schemas/result_enums.py,2,0.666667
src/api/regionals.py,src/application/use_cases/regional/__init__.py,2,1.000000
src/api/regionals.py,src/application/use_cases/regional/create_regional.py,2,1.000000
src/api/regionals.py,src/application/use_cases/regional/delete_regional.py,2,1.000000
src/api/regionals.py,src/application/use_cases/regional/get_regional.py,2,1.000000
src/api/regionals.py,src/application/use_cases/regional/get_regionals.py,2,1.000000
src/api/regionals.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/api/regionals.py,src/domain/entities/regional.py,2,0.500000
src/api/regionals.py,src/domain/exceptions.py,2,0.666667
src/api/regionals.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/api/schemas/regional_dto.py,src/application/schemas/result_enums.py,2,0.400000
src/api/schemas/regional_dto.py,src/application/use_cases/regional/__init__.py,2,0.500000
src/api/schemas/regional_dto.py,src/application/use_cases/regional/create_regional.py,2,0.500000
src/api/schemas/regional_dto.py,src/application/use_cases/regional/delete_regional.py,2,0.500000
src/api/schemas/regional_dto.py,src/application/use_cases/regional/get_regional.py,2,0.500000
src/api/schemas/regional_dto.py,src/application/use_cases/regional/get_regionals.py,2,0.500000
